1-059R	氷	ラグナ	1	DISSIDIA 012[duodecim] FINAL FANTASY	DISSIDIA 012 [duodecim] FINAL FANTASY 	dissidia_012	opus1/1-059R.png			opus1/ice.html	"&copy; 2008,2011 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN：TETSUYA NOMURA"
1-060H	氷	レオンハルト	1	FINAL FANTASY II	FINAL FANTASY II	ff2	opus1/1-060H.png				"&copy;1988,2012 SQUARE ENIX CO., LTD. All Rights Reserved.
IMAGE ILLUSTRATION:&copy;1988 YOSHITAKA AMANO"
1-061R	風	アレキサンダー	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-061R.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-062L	風	ヴァルファーレ	1	FINAL FANTASY X	FINAL FANTASY X	ff10	opus1/1-062L.png				"&copy;2001,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-063H	風	ヴァン	1	DISSIDIA 012[duodecim] FINAL FANTASY	DISSIDIA 012 [duodecim] FINAL FANTASY 	dissidia_012	opus1/1-063H.png			opus1/wind.html	"&copy; 2008,2011 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN：TETSUYA NOMURA"
1-064R	風	エアリス	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-064R.png			opus1/wind.html	"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-065C	風	エアリス	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-065C.png				"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-066C	風	踊り子	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-066C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-067R	風	オニオンナイト	1	DISSIDIA FINAL FANTASY	DISSIDIA FINAL FANTASY	dissidia	opus1/1-067R.png				"&copy;2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-068C	風	幻術師	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-068C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-069C	風	シーフ 	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-069C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-070C	風	シーフ	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-070C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-071L	風	ジタン	1	DISSIDIA FINAL FANTASY	DISSIDIA FINAL FANTASY	dissidia	opus1/1-071L.png				"&copy;2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-072R	風	シド・ハイウインド	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-072R.png			opus1/wind.html	"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-073C	風	シド・ハイウインド	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-073C.png			opus1/wind.html	"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-074R	風	シルフ	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-074R.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-075C	風	チョコボ	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-075C.png				"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-076C	風	チョコボ	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-076C.png				"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-077C	風	導師	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-077C.png			opus1/wind.html	"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-078C	風	忍者	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-078C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-079R	風	ノラ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-079R.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-080H	風	バッツ	1	DISSIDIA FINAL FANTASY	DISSIDIA FINAL FANTASY	dissidia	opus1/1-080H.png				"&copy;2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-081R	風	バッツ	1	DISSIDIA FINAL FANTASY -Arcade-	DISSIDIA FINAL FANTASY -Arcade-	dffac	opus1/1-081R.png			opus1/wind.html	"&copy; 2015,2016 KOEI TECMO GAMES/SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-082R	風	ホープ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-082R.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-083H	風	マリア	1	FINAL FANTASY II	FINAL FANTASY II	ff2	opus1/1-083H.png				"&copy;1988,2012 SQUARE ENIX CO., LTD. All Rights Reserved.
IMAGE ILLUSTRATION:&copy;1988 YOSHITAKA AMANO"
1-084H	風	ヤ・シュトラ	1	DISSIDIA FINAL FANTASY -Arcade-	DISSIDIA FINAL FANTASY -Arcade-	dffac	opus1/1-084H.png				"&copy; 2015,2016 KOEI TECMO GAMES/SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-085R	風	ユフィ	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-085R.png			opus1/wind.html	"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
